[2013-12-08 00:49:10,334]runtime:INFO: Running iteration 1 ...
[2013-12-08 00:49:10,361]runtime:INFO: Creating instances of Acceptor..
[2013-12-08 00:49:10,503]runtime:INFO: 20 instances of Acceptor created.
[2013-12-08 00:49:10,517]runtime:INFO: Creating instances of Replica..
[2013-12-08 00:49:10,611]runtime:INFO: 10 instances of Replica created.
[2013-12-08 00:49:10,623]runtime:INFO: Creating instances of Leader..
[2013-12-08 00:49:10,653]runtime:INFO: 5 instances of Leader created.
[2013-12-08 00:49:10,676]runtime:INFO: Creating instances of Client..
[2013-12-08 00:49:10,712]runtime:INFO: 5 instances of Client created.
[2013-12-08 00:49:10,731]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,735]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,752]runtime:INFO: Starting procs...
[2013-12-08 00:54:03,747]Client(('Latitude', 21586)):INFO: Received result 29:1332 time taken: 4.262482
[2013-12-08 00:54:04,834]Client(('Latitude', 38473)):INFO: Received result 30:1341 time taken: 4.175951
[2013-12-08 00:54:07,942]Client(('Latitude', 29417)):INFO: Received result 30:1350 time taken: 7.374629
[2013-12-08 00:54:09,070]Client(('Latitude', 19526)):INFO: Received result 30:1359 time taken: 6.235059
[2013-12-08 00:54:10,306]Client(('Latitude', 26810)):INFO: Received result 28:1368 time taken: 6.734235
[2013-12-08 00:54:10,689]Client(('Latitude', 21586)):INFO: Received result 30:1377 time taken: 6.919289
[2013-12-08 00:54:10,816]Client(('Latitude', 38473)):INFO: Received result 31:1386 time taken: 5.965089
[2013-12-08 00:54:12,859]Client(('Latitude', 29417)):INFO: Received result 31:1395 time taken: 4.887511
[2013-12-08 00:54:16,788]Client(('Latitude', 19526)):INFO: Received result 31:1404 time taken: 7.686201
[2013-12-08 00:54:17,075]Client(('Latitude', 26810)):INFO: Received result 29:1413 time taken: 6.760812
[2013-12-08 00:54:17,261]Client(('Latitude', 21586)):INFO: Received result 31:1422 time taken: 6.563412
[2013-12-08 00:54:19,222]Client(('Latitude', 38473)):INFO: Received result 32:1431 time taken: 8.395079
[2013-12-08 00:54:19,660]Client(('Latitude', 29417)):INFO: Received result 32:1440 time taken: 6.794349
[2013-12-08 00:54:29,827]Client(('Latitude', 19526)):INFO: Received result 32:1449 time taken: 13.007492
[2013-12-08 00:54:30,116]Client(('Latitude', 26810)):INFO: Received result 30:1458 time taken: 13.027939
[2013-12-08 00:54:30,344]Client(('Latitude', 21586)):INFO: Received result 32:1467 time taken: 13.057801
[2013-12-08 00:54:30,523]Client(('Latitude', 38473)):INFO: Received result 33:1476 time taken: 11.294238
[2013-12-08 00:54:30,726]Client(('Latitude', 29417)):INFO: Received result 33:1485 time taken: 11.060093
[2013-12-08 00:54:41,809]Client(('Latitude', 19526)):INFO: Received result 33:1494 time taken: 11.937799
[2013-12-08 00:54:42,759]Client(('Latitude', 26810)):INFO: Received result 31:1503 time taken: 12.636558
[2013-12-08 00:54:43,686]Client(('Latitude', 21586)):INFO: Received result 33:1512 time taken: 13.335649
[2013-12-08 00:54:43,863]Client(('Latitude', 29417)):INFO: Received result 34:1521 time taken: 13.130047
[2013-12-08 00:54:46,586]Client(('Latitude', 38473)):INFO: Received result 34:1530 time taken: 16.057471
[2013-12-08 00:54:46,630]Client(('Latitude', 19526)):INFO: Received result 34:1539 time taken: 4.814342
[2013-12-08 00:54:46,816]Client(('Latitude', 26810)):INFO: Received result 32:1548 time taken: 4.042674
[2013-12-08 00:54:46,859]Client(('Latitude', 21586)):INFO: Received result 34:1557 time taken: 3.164603
[2013-12-08 00:54:47,013]Client(('Latitude', 29417)):INFO: Received result 35:1566 time taken: 3.136337
[2013-12-08 00:54:53,160]Client(('Latitude', 38473)):INFO: Received result 35:1575 time taken: 6.515701
[2013-12-08 00:54:54,135]Client(('Latitude', 19526)):INFO: Received result 35:1584 time taken: 7.468995
[2013-12-08 00:54:56,489]Client(('Latitude', 26810)):INFO: Received result 33:1593 time taken: 9.666759
[2013-12-08 00:54:58,091]Client(('Latitude', 21586)):INFO: Received result 35:1602 time taken: 11.219116
